index,result,odds_home,odds_draw,odds_away,points_home,points_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,shots_given_home,shots_given_away,shots_conceded_home,shots_conceded_away,corners_difference_home,corners_difference_away
2160.0,draw,1.66,3.6,6.0,7,9,3,8,4,5,43,66,46,71,8,0
2161.0,draw,2.9,3.2,2.55,8,8,5,8,5,5,57,58,66,38,-22,0
2162.0,home win,1.45,4.2,10.0,9,10,6,7,4,5,51,68,63,54,2,0
2163.0,home win,1.16,8.0,15.0,11,0,8,3,4,9,77,52,67,55,7,-1
2164.0,home win,1.61,3.6,6.5,11,10,9,9,5,3,50,49,45,56,1,-25
2165.0,away win,2.5,3.3,2.9,4,7,3,5,8,6,48,41,71,56,-14,-12
2166.0,away win,3.3,3.2,2.35,7,7,4,5,6,3,55,62,58,55,-7,4
2167.0,away win,2.9,3.3,2.5,4,5,5,6,6,6,56,56,72,72,7,5
2168.0,home win,1.66,4.2,4.75,1,8,5,5,12,3,72,55,54,44,9,7
2169.0,away win,5.0,4.33,1.61,1,9,1,9,10,5,52,88,59,54,14,17
2170.0,draw,1.8,3.75,4.5,5,3,5,5,7,8,58,59,58,76,2,13
2171.0,home win,3.9,3.0,2.2,8,12,3,7,3,3,50,51,45,59,15,-4
2172.0,away win,2.45,3.2,3.0,7,9,6,6,5,3,46,65,61,64,-37,-19
2173.0,away win,2.15,3.2,3.7,7,7,5,6,5,6,58,67,52,52,-1,1
2174.0,home win,1.18,7.5,13.0,9,1,10,2,6,9,81,45,56,72,19,-9
2175.0,away win,7.0,5.0,1.4,7,13,5,9,6,3,48,69,50,61,-6,5
2176.0,away win,1.66,3.8,5.5,6,1,6,2,6,10,61,53,48,63,-1,7
2177.0,away win,2.4,3.5,2.9,9,4,7,10,4,13,54,81,72,53,-6,9
2178.0,draw,2.0,3.3,4.0,9,13,6,11,3,6,59,55,53,45,7,13
2179.0,home win,1.6,4.2,5.5,7,0,6,3,4,10,55,45,66,54,-2,-6
2180.0,away win,2.87,2.9,2.7,10,10,8,5,4,3,62,46,58,44,-14,7
2181.0,away win,5.5,3.4,1.75,9,12,7,6,4,2,61,49,63,57,-12,3
2182.0,home win,1.14,9.0,15.0,15,6,13,5,4,4,75,52,61,75,11,-9
2183.0,home win,2.5,3.3,2.75,1,9,1,9,8,5,38,60,82,64,-15,3
2184.0,away win,1.95,3.2,4.5,11,4,8,2,5,7,52,54,40,57,14,3
2185.0,draw,2.8,3.5,2.45,4,5,6,5,7,6,59,68,82,43,4,6
2186.0,home win,1.11,10.0,19.0,9,4,9,5,5,8,92,47,51,60,25,-26
2187.0,away win,2.05,3.5,3.6,6,9,9,6,11,3,80,57,58,54,6,3
2188.0,draw,2.6,3.0,3.0,3,5,4,6,11,8,52,72,71,56,-3,6
2189.0,draw,2.75,3.5,2.45,0,7,3,6,11,7,43,58,51,50,-2,-10
2190.0,home win,1.36,4.5,10.0,12,7,9,7,2,5,56,54,59,47,-6,-7
2191.0,draw,2.4,3.1,3.2,5,10,5,6,6,5,50,54,67,36,-4,13
2192.0,draw,5.25,4.2,1.61,6,15,8,14,8,4,62,68,58,55,-2,16
